DriverNumber,LapNumber,Stint,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,LapTimeSeconds,Driver_ALO,Driver_BEA,Driver_BOT,Driver_COL,Driver_DEV,Driver_GAS,Driver_GIO,Driver_GRO,Driver_HAM,Driver_HUL,Driver_KUB,Driver_KVY,Driver_LAT,Driver_LEC,Driver_MAG,Driver_MAZ,Driver_MSC,Driver_NOR,Driver_OCO,Driver_PER,Driver_PIA,Driver_RAI,Driver_RIC,Driver_RUS,Driver_SAI,Driver_SAR,Driver_STR,Driver_TSU,Driver_VER,Driver_VET,Driver_ZHO,Compound_MEDIUM,Compound_SOFT,Team_Alfa Romeo Racing,Team_AlphaTauri,Team_Alpine,Team_Aston Martin,Team_Ferrari,Team_Haas F1 Team,Team_Kick Sauber,Team_McLaren,Team_Mercedes,Team_RB,Team_Racing Point,Team_Red Bull Racing,Team_Renault,Team_Toro Rosso,Team_Williams,TyreDegradation,Rain_TrackTemp,Rain_Humidity,WindImpact
10,2.0,1.0,2.0,20.3,48.1,1013.9,False,42.4,221,0.6,113.143,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.6,0.0,0.0,0.9683333333333333
10,3.0,1.0,3.0,20.3,49.5,1013.8,False,41.8,208,1.1,108.425,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2.4000000000000004,0.0,0.0,1.7355555555555557
10,4.0,1.0,4.0,20.0,49.6,1013.9,False,41.8,218,1.7,108.557,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3.2,0.0,0.0,2.7294444444444443
10,5.0,1.0,5.0,20.1,50.8,1014.0,False,41.5,218,1.6,112.738,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4.0,0.0,0.0,2.568888888888889
10,6.0,1.0,6.0,20.1,51.1,1013.9,False,41.3,104,1.4,112.123,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4.800000000000001,0.0,0.0,1.804444444444444
10,7.0,1.0,7.0,20.1,51.3,1014.0,False,41.5,244,0.8,109.11,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,5.6000000000000005,0.0,0.0,1.3422222222222224
10,8.0,1.0,8.0,20.2,51.7,1014.0,False,41.3,219,0.9,109.011,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6.4,0.0,0.0,1.4475
10,9.0,1.0,9.0,20.0,53.3,1013.9,False,41.3,231,1.4,111.938,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7.2,0.0,0.0,2.298333333333333
10,10.0,1.0,10.0,19.9,52.7,1013.9,False,41.1,206,0.8,111.634,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,8.0,0.0,0.0,1.2577777777777779
10,11.0,1.0,11.0,19.8,52.1,1013.9,False,41.1,201,0.9,108.11,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,8.8,0.0,0.0,1.4025
10,12.0,1.0,12.0,19.8,53.1,1013.8,False,41.0,19,1.4,107.882,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,9.600000000000001,0.0,0.0,1.4738888888888888
10,13.0,1.0,13.0,19.5,55.0,1013.9,False,40.3,199,1.1,107.546,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,10.4,0.0,0.0,1.7080555555555557
10,14.0,1.0,14.0,19.4,53.7,1013.8,False,40.2,1,0.8,107.482,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,11.200000000000001,0.0,0.0,0.8022222222222223
10,15.0,1.0,15.0,19.2,53.9,1013.8,False,40.1,14,1.2,108.019,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,12.0,0.0,0.0,1.2466666666666668
10,16.0,1.0,16.0,18.9,54.4,1013.7,False,39.8,226,1.0,107.579,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,12.8,0.0,0.0,1.6277777777777778
10,17.0,1.0,17.0,18.7,55.3,1013.8,False,39.9,209,1.1,109.216,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,13.600000000000001,0.0,0.0,1.7386111111111113
10,18.0,1.0,18.0,18.8,55.7,1013.8,False,39.5,2,1.4,107.57,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,14.4,0.0,0.0,1.4077777777777776
10,19.0,1.0,19.0,18.8,56.3,1013.8,False,39.1,186,1.2,107.389,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,15.200000000000001,0.0,0.0,1.8199999999999998
10,20.0,1.0,20.0,18.6,57.4,1013.7,False,38.9,132,1.2,107.019,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,16.0,0.0,0.0,1.64
10,21.0,1.0,21.0,18.8,57.5,1013.8,False,39.0,237,1.5,106.848,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,16.8,0.0,0.0,2.4875
10,22.0,1.0,22.0,18.8,56.8,1013.8,False,39.1,240,1.8,106.964,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,17.6,0.0,0.0,3.0
10,23.0,1.0,23.0,18.7,56.9,1013.8,False,38.6,199,1.6,107.098,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,18.400000000000002,0.0,0.0,2.4844444444444447
10,24.0,1.0,24.0,19.0,56.2,1013.7,False,38.7,173,1.5,106.779,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,19.200000000000003,0.0,0.0,2.220833333333333
10,25.0,1.0,25.0,18.9,53.3,1013.8,False,38.6,210,1.7,106.505,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,20.0,0.0,0.0,2.691666666666667
10,26.0,1.0,26.0,19.4,52.4,1013.8,False,38.5,207,1.9,107.105,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,20.8,0.0,0.0,2.9924999999999997
10,27.0,1.0,27.0,19.5,52.2,1013.7,False,38.5,194,1.8,106.142,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,21.6,0.0,0.0,2.77
10,28.0,1.0,28.0,19.7,51.6,1013.7,False,38.4,256,1.7,106.15,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,22.400000000000002,0.0,0.0,2.908888888888889
10,29.0,1.0,29.0,19.7,52.3,1013.7,False,38.1,222,1.5,106.51,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,23.200000000000003,0.0,0.0,2.425
10,30.0,1.0,30.0,19.3,53.3,1013.7,False,37.9,202,1.7,107.133,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,24.0,0.0,0.0,2.653888888888889
10,31.0,1.0,31.0,19.4,52.6,1013.7,False,37.9,214,1.2,106.447,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,24.8,0.0,0.0,1.9133333333333333
